cCRE_id	10.5_open_chromatin	10.601_open_chromatin	10.702_open_chromatin	10.803_open_chromatin	10.904_open_chromatin	11.005_open_chromatin	11.106_open_chromatin	11.207_open_chromatin	11.308_open_chromatin	11.409_open_chromatin	11.51_open_chromatin	11.611_open_chromatin	11.712_open_chromatin	11.812_open_chromatin	11.913_open_chromatin	12.014_open_chromatin	12.115_open_chromatin	12.216_open_chromatin	12.317_open_chromatin	12.418_open_chromatin	12.519_open_chromatin	12.62_open_chromatin	12.721_open_chromatin	12.822_open_chromatin	12.923_open_chromatin	13.024_open_chromatin	13.125_open_chromatin	13.226_open_chromatin	13.327_open_chromatin	13.428_open_chromatin	13.529_open_chromatin	13.63_open_chromatin	13.731_open_chromatin	13.832_open_chromatin	13.933_open_chromatin	14.034_open_chromatin	14.135_open_chromatin	14.236_open_chromatin	14.337_open_chromatin	14.438_open_chromatin	14.538_open_chromatin	14.639_open_chromatin	14.74_open_chromatin	14.841_open_chromatin	14.942_open_chromatin	15.043_open_chromatin	15.144_open_chromatin	15.245_open_chromatin	15.346_open_chromatin	15.447_open_chromatin	15.548_open_chromatin	15.649_open_chromatin	15.75_open_chromatin	15.851_open_chromatin	15.952_open_chromatin	16.053_open_chromatin	16.154_open_chromatin	16.255_open_chromatin	16.356_open_chromatin	16.457_open_chromatin	16.558_open_chromatin	16.659_open_chromatin	16.76_open_chromatin	16.861_open_chromatin	16.962_open_chromatin	17.062_open_chromatin	17.163_open_chromatin	17.264_open_chromatin	17.365_open_chromatin	17.466_open_chromatin	17.567_open_chromatin	17.668_open_chromatin	17.769_open_chromatin	17.87_open_chromatin	17.971_open_chromatin	18.072_open_chromatin	18.173_open_chromatin	18.274_open_chromatin	18.375_open_chromatin	18.476_open_chromatin	18.577_open_chromatin	18.678_open_chromatin	18.779_open_chromatin	18.88_open_chromatin	18.981_open_chromatin	19.082_open_chromatin	19.183_open_chromatin	19.284_open_chromatin	19.385_open_chromatin	19.486_open_chromatin	19.587_open_chromatin	19.688_open_chromatin	19.788_open_chromatin	19.889_open_chromatin	19.99_open_chromatin	20.091_open_chromatin	20.192_open_chromatin	20.293_open_chromatin	20.394_open_chromatin	20.495_open_chromatin	20.596_open_chromatin	20.697_open_chromatin	20.798_open_chromatin	20.899_open_chromatin	21.0_open_chromatin
EM10D0043278	-0.08727414570298016	-0.08680505073426538	-0.0863384770664966	-0.08587441114883614	-0.08541283950326835	-0.0849537487242083	-0.08449712547811271	-0.08404295650309278	-0.08359122860852938	-0.0831419286746898	-0.08269504365234728	-0.08225056056240179	-0.08180846649550359	-0.0813687486116782	-0.0809313941399538	-0.08049639037799043	-0.08006372469171123	-0.07963338451493564	-0.07920535734901463	-0.07877963076246781	-0.07835619239062262	-0.07793502993525521	-0.0775161311642336	-0.07709948391116236	-0.07668507607502958	-0.07627289561985541	-0.07586293057434274	-0.07545516903152963	-0.07504959914844354	-0.07464620914575767	-0.07424498730744883	-0.07384592198045739	-0.0734490015743489	-0.07305421456097763	-0.07266154947415189	-0.07227099490930115	-0.07188253952314484	-0.07149617203336316	-0.0711118812182694	-0.07072965591648427	-0.0703494850266117	-0.06997135750691669	-0.06959526237500459	-0.0692211887075024	-0.06884912563974147	-0.06847906236544218	-0.06811098813640015	-0.06774489226217419	-0.06738076410977588	-0.06701859310336099	-0.06665836872392218	-0.0663000805089839	-0.06594371805229836	-0.06558927100354353	-0.06523672906802258	-0.0648860820063651	-0.06453731963422955	-0.0641904318220079	-0.0638454084945312	-0.06350223963077731	-0.0631609152635798	-0.06282142547933857	-0.062483760417732126	-0.06214791027143114	-0.061813865285813785	-0.06148161575868249	-0.061151152039982185	-0.06082246453152028	-0.060495543686687726	-0.060170380010182115	-0.05984696405773168	-0.0595252864358214	-0.059205337801419955	-0.05888710886170864	-0.05857059037381149	-0.058255773144526915	-0.05794264803006079	-0.0576312059357608	-0.05732143781585268	-0.057013334673177284	-0.056706887558929484	-0.05640208757239828	-0.056098925860708374	-0.05579739361856313	-0.05549748208798893	-0.05519918255808081	-0.054902486364749536	-0.05460738489047009	-0.05431386956403142	-0.05402193186028754	-0.053731563299909996	-0.05344275544914172	-0.05315549991955203	-0.05286978836779315	-0.05258561249535791	-0.05230296404833881	-0.052021834817188306	-0.051742216636480466	-0.051464101384673874	-0.051187480983875766	-0.050912347399607566	-0.050638692640571435	-0.05036650875841838	-0.05009578784751738	-0.04982652204472581
EM10D0046746	-0.02097416583664084	-0.022752174901581188	-0.024670440353401078	-0.026738135372691093	-0.028964686046846076	-0.031359707109991274	-0.03393292088721107	-0.03669405715656349	-0.03965273157186402	-0.04281830028662104	-0.04619968850875734	-0.049805190924664934	-0.053642242291053334	-0.05771715703796618	-0.062034837491534475	-0.066598451344815	-0.07140908030963755	-0.07646534349368216	-0.08176300097341174	-0.08729454526354155	-0.09304879087916351	-0.09901047487504483	-0.10515988401474206	-0.11147252691077199	-0.11791887187893287	-0.12446417311226167	-0.13106840881397283	-0.1376863548252452	-0.14426781574004122	-0.15075803225221698	-0.1570982783478468	-0.1632266548808554	-0.16907907716314347	-0.17459044377249383	-0.179695962360652	-0.1843325965666337	-0.18844058711289416	-0.19196499079028143	-0.19485717432771293	-0.19707619698262502	-0.19859001672716928	-0.19937646044469925	-0.19942390847286748	-0.198731657571269	-0.19730994298164195	-0.19517961839943218	-0.1923715109222975	-0.18892548490814498	-0.18488926284359924	-0.18031706177520962	-0.17526810997225736	-0.16980511009661253	-0.16399271250289063	-0.15789605599097445	-0.1515794242471316	-0.14510505533730894	-0.13853212996854158	-0.1319159527354985	-0.1253073299801107	-0.11875213876872447	-0.11229107417174164	-0.10595955664972563	-0.0997877778696266	-0.0938008615264292	-0.0880191154741056	-0.08245835237539219	-0.07713025785298024	-0.07204278747247672	-0.0672005765519544	-0.06260534956074268	-0.058256318575960836	-0.05415056279027975	-0.050283383331208395	-0.04664862961861891	-0.043238995138740216	-0.040046281855709444	-0.03706163353644553	-0.034275739060539254	-0.03167900735799783	-0.029261715999334127	-0.027014135688926192	-0.024926633015510565	-0.022989753821412887	-0.02119428948911289	-0.01953132833055206	-0.017992294118072794	-0.01656897362947166	-0.015253534903843142	-0.014038537727569621	-0.012916937696762734	-0.011882085037684212	-0.010927719212807399	-0.010047960198746536	-0.009237297193999022	-0.008490575399402614	-0.007802981412062781	-0.007170027683616709	-0.006587536415230907	-0.006051623193747966	-0.005558680614910495	-0.005105362089621151	-0.004688565986784088	-0.004305420230519206	-0.003953267439604704	-0.003629650672119305
EM10D0071994	-0.12641937893823213	-0.12591912063865	-0.1254169638136225	-0.1249129624297553	-0.12440717027832286	-0.12389964096547851	-0.12339042790262929	-0.12287958429697822	-0.122367163142235	-0.12185321720949659	-0.12133779903829955	-0.120820960927845	-0.12030275492839737	-0.11978323283285819	-0.11926244616851575	-0.11874044618897166	-0.11821728386624453	-0.11769300988305216	-0.11716767462527232	-0.11664132817458271	-0.1161140203012802	-0.11558580045728009	-0.1150567177692953	-0.11452682103219525	-0.11399615870254493	-0.11346477889232409	-0.11293272936282554	-0.11240005751873317	-0.11186681040237915	-0.11133303468817946	-0.11079877667724738	-0.11026408229218486	-0.10972899707205032	-0.10919356616750243	-0.10865783433611945	-0.10812184593789237	-0.1075856449308917	-0.10704927486710655	-0.10651277888845469	-0.1059761997229627	-0.1054395796811149	-0.10490296065237008	-0.10436638410184379	-0.10382989106715594	-0.10329352215544141	-0.10275731754052252	-0.10222131696024184	-0.10168555971395347	-0.10115008466017152	-0.10061493021437376	-0.10008013434695874	-0.09954573458135503	-0.09901176799228008	-0.09847827120414734	-0.09794528038961982	-0.09741283126830752	-0.09688095910560782	-0.0963496987116856	-0.0958190844405924	-0.09528915018952142	-0.09475992939819719	-0.09423145504839711	-0.09370375966360356	-0.0931768753087835	-0.09265083359029433	-0.09212566565591317	-0.09160140219498811	-0.09107807343870832	-0.09055570916049153	-0.09003433867648679	-0.08951399084618943	-0.08899469407316705	-0.08847647630589364	-0.08795936503868974	-0.08744338731276664	-0.08692856971737217	-0.08641493839103576	-0.08590251902291092	-0.08539133685421249	-0.08488141667974686	-0.08437278284953238	-0.08386545927050831	-0.08335946940832983	-0.08285483628924702	-0.08235158250206526	-0.08184973020018557	-0.081349301103722	-0.08085031650169432	-0.08035279725429392	-0.07985676379522036	-0.07936223613408694	-0.07886923385889294	-0.07837777613856046	-0.07788788172553378	-0.07739956895843929	-0.07691285576480399	-0.07642775966383004	-0.0759442977692244	-0.0754624867920804	-0.07498234304381	-0.07450388243912488	-0.0740271204990639	-0.0735520723540655	-0.07307875274708293	-0.07260717603674081
EM10D0075496	-0.06637393156049219	-0.06610419030867391	-0.06583554527045946	-0.06556799199093812	-0.06530152603330325	-0.06503614297877863	-0.0647718384265452	-0.06450860799366813	-0.0642464473150241	-0.06398535204322893	-0.06372531784856549	-0.06346634041891193	-0.06320841545967013	-0.0629515386936946	-0.06269570586122139	-0.062440912719797584	-0.062187155044210914	-0.0619344286264197	-0.06168272927548309	-0.061432052817491506	-0.061182395095497534	-0.060933751969446906	-0.06068611931610991	-0.06043949302901295	-0.06019386901837055	-0.05994924321101748	-0.05970561155034119	-0.059462969996214615	-0.05922131452492913	-0.058980641129127855	-0.058740945817739185	-0.05850222461591063	-0.05826447356494293	-0.05802768872222433	-0.0577918661611653	-0.05755700197113335	-0.057323092257388256	-0.05709013314101737	-0.056858120758871464	-0.05662705126350053	-0.05639692082309001	-0.056167725621397324	-0.05593946185768852	-0.05571212574667531	-0.0554857135184522	-0.0552602214184341	-0.05503564570729402	-0.054811982660901044	-0.054589228570258566	-0.05436737974144289	-0.054146432495541796	-0.053926383168593744	-0.05370722811152693	-0.05348896369009898	-0.05327158628483644	-0.053055092290975	-0.05283947811839955	-0.052624740191584723	-0.05241087494953561	-0.0521978788457287	-0.05198574834805305	-0.05177447993875174	-0.05156407011436353	-0.051354515385664795	-0.051145812277611634	-0.05093795732928224	-0.05073094709381954	-0.05052477813837406	-0.050319447044046915	-0.050114950405833206	-0.0499112848325655	-0.04970844694685767	-0.04950643338504878	-0.04930524079714744	-0.04910486584677614	-0.04890530521111597	-0.04870655558085159	-0.048508613660116204	-0.04831147616643707	-0.04811513983068095	-0.04791960139699998	-0.04772485762277762	-0.0475309052785749	-0.04733774114807694	-0.04714536202803952	-0.046953764728236015	-0.04676294607140445	-0.04657290289319491	-0.046383632042116964	-0.046195130379487435	-0.04600739477937841	-0.04582042212856535	-0.045634209326475446	-0.045448753285136305	-0.04526405092912461	-0.045080099195515234	-0.04489689503383039	-0.04471443540598911	-0.044532717286256754	-0.044351737661194955	-0.044171493529611576	-0.043991981902510996	-0.04381319980304451	-0.04363514426646096	-0.043457812340057606
EM10D0108988	-0.2396308195484042	-0.2339028972105424	-0.22831188954596301	-0.22285452390319482	-0.21752760585536957	-0.2123280173305105	-0.20725271478650603	-0.20229872742970403	-0.19746315547608262	-0.19274316845397926	-0.18813600354738716	-0.18363896397884766	-0.17924941743099293	-0.17496479450581562	-0.17078258722076287	-0.166700347540776	-0.16271568594541558	-0.15882627003023392	-0.15502982314157668	-0.15132412304401394	-0.14770700061962197	-0.14417633859835366	-0.1407300703187546	-0.1373661785183003	-0.1340826941526456	-0.13087769524309636	-0.12774930575162793	-0.12469569448279264	-0.1217150740118735	-0.1188056996386567	-0.11596586836621102	-0.11319391790407579	-0.1104882256952748	-0.10784720796658577	-0.10526931880151123	-0.10275304923540567	-0.10029692637223206	-0.09789951252242915	-0.09555940436138521	-0.0932752321080266	-0.09104565872303877	-0.08886937912625247	-0.08674511943273519	-0.08467163620714237	-0.08264771573589035	-0.08067217331672683	-0.07874385256528153	-0.07686162473819229	-0.0750243880724093	-0.07323106714029239	-0.07148061222012206	-0.06977199868165727	-0.06810422638637972	-0.06647631910207354	-0.06488732393139814	-0.06333631075411945	-0.061822371682673065	-0.060344620530740724	-0.058902192294529566	-0.0574942426464493	-0.05611994744089254	-0.05477850223182759	-0.053469121801922495	-0.052191039702923804	-0.050943507807021615	-0.04972579586893809	-0.048537191098483534	-0.047376997743328854	-0.04624453668175128	-0.04513914502511448	-0.04406017572985036	-0.04300699721871555	-0.041978993011100925	-0.040975561362177594	-0.03999611491066841	-0.03904008033503851	-0.038106898017904234	-0.03719602171846285	-0.03630691825275293	-0.03543906718155682	-0.03459196050576343	-0.033765102369012256	-0.03295800876744563	-0.03217020726639824	-0.03140123672385879	-0.030650647020541575	-0.029917998796410147	-0.02920286319349881	-0.028504821604881596	-0.027823465429641182	-0.027158395833695136	-0.02650922351633891	-0.02587556848236913	-0.02525705981965396	-0.02465333548201983	-0.024064042077328235	-0.023488834660617727	-0.022927376532190742	-0.022379339040526407	-0.02184440138990459	-0.021322250452628106	-0.020812580585733553	-0.02031509345208308	-0.01982949784573276	-0.019355509521475016
EM10D0125116	-0.13367240219539217	-0.1318805113659472	-0.1301126409742161	-0.12836846902496346	-0.12664767783930056	-0.12494995399682483	-0.12327498827853554	-0.12162247561051409	-0.11999211500836011	-0.11838360952237124	-0.11679666618345869	-0.11523099594978739	-0.11368631365413145	-0.11216233795193546	-0.11065879127007167	-0.1091753997562845	-0.10771189322931235	-0.1062680051296783	-0.10484347247114034	-0.10343803579279225	-0.10205143911180682	-0.10068342987681245	-0.09933375892189462	-0.09800218042121399	-0.09668845184423291	-0.09539233391154212	-0.09411359055127956	-0.09285198885613323	-0.09160729904092062	-0.0903792944007367	-0.08916775126966293	-0.08797244898002982	-0.08679316982222537	-0.08562969900504255	-0.08448182461655818	-0.08334933758553613	-0.08223203164334808	-0.0811297032864046	-0.08004215173908989	-0.0789691789171934	-0.07791058939183156	-0.07686619035385321	-0.07583579157872206	-0.07481920539187013	-0.07381624663451532	-0.07282673262993741	-0.07185048315020602	-0.07088732038335473	-0.06993706890099485	-0.06899955562636387	-0.0680746098028018	-0.06716206296265015	-0.06626174889656798	-0.06537350362325904	-0.064497165359605	-0.06363257449119877	-0.06277957354327293	-0.061938007152017804	-0.06110772203628426	-0.06028856696966532	-0.059480392752952645	-0.058683052186961716	-0.057896400045721545	-0.057120293050023835	-0.056354589841326394	-0.0555991509560067	-0.05485383879996054	-0.05411851762354102	-0.053393053496833535	-0.05267731428526226	-0.05197116962552365	-0.051274490901842475	-0.05058715122254605	-0.04990902539695285	-0.04923998991257041	-0.04857992291259933	-0.047928704173738644	-0.047286215084288714	-0.04665233862254752	-0.04602695933549704	-0.04540996331777468	-0.044801238190927024	-0.04420067308294154	-0.04360815860805275	-0.043023586846819	-0.0424468513264663	-0.041877847001495765	-0.04131647023455084	-0.04076261877754121	-0.0402161917530196	-0.0396770896358082	-0.039145214234871446	-0.03862046867543184	-0.038102757381325486	-0.03759198605759399	-0.037088061673309906	-0.03659089244463237	-0.036100387818089934	-0.03561645845408713	-0.03513901621063274	-0.03466797412728556	-0.034203246409315886	-0.033744748412078994	-0.03329239662559821	-0.032846108659354556
EM10D0207339	-0.014080754750113375	-0.01551129634657751	-0.01708009596389874	-0.018798983644868546	-0.020680467283972815	-0.02273769387418324	-0.024984387713002217	-0.027434760656957536	-0.03010338894080579	-0.03300505055640836	-0.03615451677017233	-0.03956629111756474	-0.043254289238071085	-0.047231453313960337	-0.05150929578112808	-0.05609736853682966	-0.06100265623419069	-0.06622889558228916	-0.07177582699895989	-0.0776383905817786	-0.08380588518322665	-0.09026111729313473	-0.09697957517760615	-0.1039286728268591	-0.1110671170155675	-0.11834445821949093	-0.12570089107484628	-0.13306737116727	-0.14036611082042844	-0.14751150600468668	-0.15441152868877422	-0.16096959376510828	-0.16708687786223256	-0.17266503077326464	-0.17760918185052552	-0.18183110746264933	-0.18525239595286178	-0.18780742790427032	-0.18944598557537767	-0.19013531830238944	-0.18986152062263537	-0.18863012471361834	-0.186465864177718	-0.18341162635261246	-0.17952666858636407	-0.17488422397004116	-0.16956865880474184	-0.16367236448269443	-0.15729256965163874	-0.1505282458670577	-0.14347725452645854	-0.1362338489142125	-0.1288866072000468	-0.12151683444804635	-0.1141974375215442	-0.10699224855927093	-0.09995575167533165	-0.09313315392164843	-0.08656073478719413	-0.08026640751907174	-0.07427042900356974	-0.06858620146354381	-0.0632211175452078	-0.05817740942019662	-0.05345297150038086	-0.049042134682033715	-0.04493637735167744	-0.04112496452807147	-0.0375955114499012	-0.034334471707965886	-0.031327552783754264	-0.028560063742667483	-0.026017200997775245	-0.02368427866111464	-0.02154691017178658	-0.01959114775215633	-0.01780358589357023	-0.01617143458966655	-0.014682567479138648	-0.013325549475775302	-0.012089647883926555	-0.010964830444039394	-0.009941753239321793	-0.009011740928563416	-0.008166761354852774	-0.007399396215432193	-0.006702809162161932	-0.0060707124316587485	-0.005497332875026669	-0.004977378064803297	-0.00450600299687187	-0.004078777773381692	-0.003691656545216038	-0.003340947905639032	-0.0030232868572194556	-0.0027356084191342226	-0.0024751228990288793	-0.002239292820634336	-0.0020258114734979754	-0.00183258303294989	-0.0016577041855055758	-0.0014994471862315112	-0.0013562442692798514	-0.0012266733301001275	-0.0011094447971597787
EM10D0274344	-0.14348242409018638	-0.1486149519251955	-0.15369858115791	-0.15870781714246948	-0.1636159989740085	-0.1683955217099886	-0.173018094583182	-0.177455033031198	-0.18167758113523103	-0.1856572598054821	-0.18936623482652534	-0.19277769774253722	-0.1958662515821488	-0.1986082926570045	-0.20098237917285422	-0.20296957721353848	-0.20455377482925202	-0.20572195549660507	-0.20646442311540966	-0.20677497194136787	-0.20665099638039003	-0.20609353732645494	-0.20510726363347453	-0.20370038928541226	-0.20188452877654287	-0.19967449504554477	-0.1970880459409513	-0.19414558656189343	-0.19086983586438236	-0.18728546661638928	-0.18341872811204477	-0.17929706102388004	-0.17494871340790827	-0.17040236622044605	-0.16568677581027666	-0.16083043977453654	-0.15586129137400231	-0.1508064264545431	-0.14569186557325006	-0.1405423528298901	-0.13538119179770125	-0.13023011796312142	-0.1251092062427616	-0.12003681145918013	-0.11502953912752469	-0.11010224352840835	-0.10526804980814017	-0.10053839674115572	-0.0959230967938885	-0.09143041022577472	-0.08706713013264512	-0.08283867556223908	-0.07874919009407563	-0.07480164356140336	-0.07099793488848251	-0.06733899431129559	-0.06382488353537416	-0.060454892654288855	-0.05722763290184927	-0.05414112453720095	-0.05119287936320611	-0.04837997755426176	-0.045699138620494524	-0.04314678646215019	-0.04071910857257836	-0.03841210953237382	-0.036221659003063185	-0.034143534478357565	-0.032173459086553516	-0.03030713476119791	-0.028540271110546786	-0.026868610321415267	-0.02528794843130493	-0.023794153295631205	-0.02238317956567185	-0.021051080978593876	-0.019794020244474117	-0.01860827679737748	-0.01749025265890607	-0.016436476643689964	-0.015443607117456681	-0.014508433499901083	-0.01362787668681611	-0.012798988549008405	-0.012018950649528404	-0.011285072305768144	-0.01059478810905712	-0.009945655001530673	-0.009335348998243032	-0.008761661631721537	-0.008222496186368819	-0.007715863781267204	-0.0072398793519680114	-0.006792757574702216	-0.006372808770065929	-0.005978434817555975	-0.005608125107298673	-0.0052604525508714904	-0.004934069669209859	-0.004627704772167051	-0.004340158241307277	-0.004070298924915339	-0.0038170606519594987	-0.003579438869809659	-0.0033564874088556447
EM10D0361641	-0.20018017734577287	-0.19617505073972574	-0.19225005708105503	-0.1884035931045556	-0.18463408762236572	-0.18094000088218343	-0.17731982393832202	-0.17377207803534978	-0.1702953140040614	-0.16688811166953374	-0.16354907927102505	-0.1602768528934806	-0.15707009591041216	-0.1539274984379235	-0.15084777679966008	-0.1478296730024632	-0.14487195422251475	-0.1419734123017631	-0.139132863254424	-0.1363491467833552	-0.13362112580610655	-0.1309476859904536	-0.12832773529922262	-0.12576020354422388	-0.12324404194910783	-0.12077822272096907	-0.11836173863052041	-0.11599360260066648	-0.11367284730330922	-0.11139852476422041	-0.10916970597581892	-0.10698548051769598	-0.1048449561847325	-0.10274725862265657	-0.10069153097089283	-0.09867693351255714	-0.09670264333145444	-0.09476785397593858	-0.09287177512949785	-0.09101363228793118	-0.08919266644298299	-0.08740813377230805	-0.08565930533563887	-0.08394546677703257	-0.08226591803307436	-0.0806199730469197	-0.07900695948805742	-0.07742621847767982	-0.07587710431954701	-0.07435898423623681	-0.07287123811067066	-0.07141325823281146	-0.06998444905142938	-0.06858422693083392	-0.06721201991247336	-0.0658672674813038	-0.0645494203368329	-0.0632579401687441	-0.06199229943701027	-0.06075198115640633	-0.059536478685334085	-0.058345295518871	-0.0571779450859606	-0.05603395055065982	-0.054912844617363316	-0.053814169339924556	-0.05273747593459605	-0.05168232459671222	-0.05064828432103952	-0.049634932725721656	-0.04864185587974658	-0.04766864813386583	-0.046714911954896444	-0.04578025776333845	-0.04486430377424081	-0.04396667584125164	-0.04308700730378826	-0.04222493883726524	-0.04138011830631876	-0.04055220062096795	-0.039740847595653724	-0.03894572781109812	-0.03816651647892727	-0.03740289530900328	-0.03665455237941023	-0.03592118200904136	-0.03520248463273562	-0.03449816667891248	-0.0338079404496548	-0.033131524003191144	-0.032468641038729	-0.03181902078359263	-0.031182397882618746	-0.03055851228976515	-0.02994710916188804	-0.02934793875464454	-0.028760756320478083	-0.028185322008644695	-0.02762140076723963	-0.027068762247184082	-0.026527180708133084	-0.025996434926265785	-0.025476308103920688	-0.024966587781038836	-0.024467065748378834
EM10D0429215	-0.01772725911067693	-0.02019286601847306	-0.022987840495692656	-0.02615211254538698	-0.029729228280787258	-0.03376629315236029	-0.03831376510332534	-0.04342504799363839	-0.04915582621522431	-0.055563072252444015	-0.06270365119468807	-0.07063244163096398	-0.07939989339159101	-0.08904895245410686	-0.09961130592246759	-0.11110293972045232	-0.12351906283949071	-0.1368285379371015	-0.1509680695882545	-0.16583653492701614	-0.18128998658556436	-0.19713799608916022	-0.21314210932239178	-0.22901721871871092	-0.24443658089318077	-0.25904099081687126	-0.2724522494433496	-0.2842905466730898	-0.2941947811019056	-0.30184424728774983	-0.30697966192948634	-0.3094212937523177	-0.30908209435852263	-0.3059742182734978	-0.30020810636153494	-0.2919842496897998	-0.28157867134647274	-0.26932388823413694	-0.2555875213416827	-0.2407507683096446	-0.22518867421839098	-0.20925363354118723	-0.19326295259543277	-0.1774907147907686	-0.16216370667120056	-0.14746082652098158	-0.13351521637932984	-0.12041831226800678	-0.10822506113404104	-0.09695966795468401	-0.08662137860022967	-0.07718994773720873	-0.0686305698122284	-0.06089815658387969	-0.05394092441352466	-0.04770331014619009	-0.04212826956648184	-0.03715903151781994	-0.03274038814732075	-0.02881960114490567	-0.025346998301452674	-0.0222763264815349	-0.019564917788360794	-0.017173716345143406	-0.015067204367152913	-0.013213258392322815	-0.011582959812194702	-0.01015037820552313	-0.008892341353447696	-0.007788202097387794	-0.006819609263090968	-0.0059702875909459574	-0.005225829866867731	-0.004573503136021684	-0.0040020699142368325	-0.0035016246145172557	-0.003063444917273326	-0.0026798574832346514	-0.002344117198005597	-0.0020502990158374015	-0.0017932014132637638	-0.001568260452202414	-0.001371473472824042	-0.0011993314783010848	-0.0010487593285728688	-0.000917062922720135	-0.0008018826152700119	-0.0007011521778245102	-0.0006130626818202547	-0.0005360307396723689	-0.0004686705992278802	-0.0004097696399169336	-0.0003582668680705531	-0.00031323405358024844	-0.00027385919054046946	-0.00023943200095143352	-0.00020933123322735577	-0.00018301353643756724	-0.00016000371719835513	-0.000139886209221034	-0.0001222976059863454	-0.00010692012512082504	-9.347588904367591e-05	-8.172192056010963e-05	-7.144576450656726e-05
